run,model_label,model_id,prompt,prompt_variant,task,attempt1_present,final_present,attempt1_sha256,final_sha256,final_differs_from_attempt1,final_graded_separately,attempt1_public_pass,attempt1_hidden_pass,final_public_pass,final_hidden_pass,repair_eligible,repair_attempted,no_repair_reason,repair_produced_code,repair_public_pass_logged,logged_attempt1_public_pass,logged_attempt1_from_cache,log_matches_regrade_public,hidden_fail_to_pass,hidden_pass_to_fail,a1_finish_reason,a1_truncated,a1_prompt_tokens,a1_completion_tokens,a1_total_tokens,a1_reasoning_tokens,a1_cached_tokens,a1_wall_s,a2_finish_reason,a2_truncated,a2_prompt_tokens,a2_completion_tokens,a2_total_tokens,a2_reasoning_tokens,a2_cached_tokens,a2_wall_s,api_calls,api_errors,cache_hit,no_program,budget_skip,reported_hidden_pass,reported_matches_regrade
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task018,True,True,8d7d14f5e5f1d6ca,8d7d14f5e5f1d6ca,False,False,True,False,True,False,False,False,passed,,,True,False,True,False,False,stop,False,773,436,1209,0,0,2.865,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task019,True,True,8d1ccd7cc383a762,2865295a89cd691b,True,True,False,True,True,True,True,True,,True,True,False,False,True,False,False,stop,False,586,486,1072,0,0,2.762,stop,False,1003,551,1554,0,0,3.322,2,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task02,True,True,a767184afcb92ff0,a767184afcb92ff0,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,329,326,655,0,0,2.51,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task020,True,True,68555e0423ac1c0e,68555e0423ac1c0e,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,411,300,711,0,0,1.803,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task021,True,True,0a9948cb73ea260f,0a9948cb73ea260f,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,506,502,1008,0,0,3.317,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task022,True,True,45d081d0d930e4f6,45d081d0d930e4f6,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,577,517,1094,0,0,2.728,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task023,True,True,c9e7d526c1659abc,c9e7d526c1659abc,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,313,192,505,0,0,1.542,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task024,True,True,67ebdd33681dd93c,67ebdd33681dd93c,False,False,True,False,True,False,False,False,passed,,,True,False,True,False,False,stop,False,566,684,1250,0,0,3.691,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task025,True,True,a745c07e82c641e5,a745c07e82c641e5,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,402,394,796,0,0,2.276,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task026,True,True,ac797436739dc0b9,ac797436739dc0b9,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,558,511,1069,0,0,3.063,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task027,True,True,78fd4a0bd73fa15d,78fd4a0bd73fa15d,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,355,316,671,0,0,2.537,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task028,True,True,261a021278a9a64a,261a021278a9a64a,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,492,688,1180,0,0,4.078,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task029,True,True,91a3e65f10e89ab1,91a3e65f10e89ab1,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,270,366,636,0,0,3.075,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task03,True,True,c3fd9b9d468b0bf0,c3fd9b9d468b0bf0,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,378,289,667,0,0,2.686,,,,,,,,,1,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task030,True,True,8b079552fcdc688f,a4c08f857f7eb7c5,True,True,False,False,False,False,True,True,,True,False,False,False,True,False,False,stop,False,482,421,903,0,0,3.038,stop,False,835,345,1180,0,0,2.389,2,0,False,False,False,,
r2-gemini25-sec,Gemini 2.5 Flash,google/gemini-2.5-flash,sec,secure,task031,True,True,636f135831f2c54f,636f135831f2c54f,False,False,True,True,True,True,False,False,passed,,,True,False,True,False,False,stop,False,300,202,502,0,0,2.301,,,,,,,,,1,0,False,False,False,,
